Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1996,53.8,50.0,10.0,N/A,81.7,51.0,N/A,70.0,N/A,42.6,59.0,70.0,50.0
Algeria,1996,54.5,50.0,50.0,N/A,48.8,60.7,N/A,70.0,N/A,57.0,54.2,50.0,50.0
Angola,1996,24.4,30.0,10.0,N/A,54.6,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,1996,74.7,70.0,70.0,N/A,80.2,89.4,N/A,85.0,N/A,77.5,60.0,70.0,70.0
Armenia,1996,42.2,50.0,50.0,N/A,75.8,0.0,N/A,55.0,N/A,0.0,69.0,30.0,50.0
Australia,1996,74.0,90.0,70.0,N/A,59.3,53.4,N/A,70.0,N/A,86.5,77.0,70.0,90.0
Austria,1996,68.9,90.0,90.0,N/A,45.9,0.0,N/A,70.0,N/A,83.6,81.0,70.0,90.0
Azerbaijan,1996,30.0,30.0,10.0,N/A,46.3,48.8,N/A,40.0,N/A,0.0,55.0,10.0,30.0
Bahrain,1996,76.4,60.0,70.0,N/A,99.4,72.5,N/A,100.0,N/A,89.1,77.0,50.0,70.0
"Bangladesh ",1996,51.1,30.0,10.0,N/A,79.2,92.0,N/A,40.0,N/A,70.7,38.0,50.0,50.0
Barbados,1996,62.3,50.0,30.0,N/A,60.8,71.5,N/A,70.0,N/A,89.0,49.0,70.0,70.0
Belarus,1996,38.7,50.0,10.0,N/A,38.0,0.0,N/A,70.0,N/A,0.0,60.0,50.0,70.0
Belgium,1996,66.0,90.0,90.0,N/A,33.9,7.3,N/A,70.0,N/A,85.0,77.8,70.0,70.0
Belize,1996,61.6,70.0,50.0,N/A,63.3,68.7,N/A,70.0,N/A,85.4,27.0,70.0,50.0
Benin,1996,54.5,50.0,50.0,N/A,72.1,90.5,N/A,70.0,N/A,57.9,0.0,50.0,50.0
Bhutan,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1996,65.2,50.0,30.0,N/A,89.2,75.3,N/A,55.0,N/A,81.6,65.4,70.0,70.0
Bosnia and Herzegovina,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,1996,61.6,70.0,70.0,N/A,63.5,46.6,N/A,70.0,N/A,68.1,46.2,50.0,70.0
Brazil,1996,48.1,50.0,30.0,N/A,66.7,74.4,N/A,55.0,N/A,0.0,57.0,50.0,50.0
Bulgaria,1996,48.6,50.0,30.0,N/A,50.6,30.6,N/A,55.0,N/A,30.0,71.0,70.0,50.0
Burkina Faso,1996,49.4,30.0,10.0,N/A,66.7,84.3,N/A,40.0,N/A,59.1,55.0,70.0,30.0
Burma,1996,45.1,30.0,10.0,N/A,81.8,81.3,N/A,40.0,N/A,53.3,50.0,30.0,30.0
Burundi,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,1996,49.7,70.0,30.0,N/A,64.3,30.9,N/A,55.0,N/A,72.3,45.0,70.0,10.0
Cambodia,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cameroon,1996,45.7,30.0,10.0,N/A,51.3,88.0,N/A,55.0,N/A,72.4,25.0,50.0,30.0
Canada,1996,70.3,90.0,90.0,N/A,64.6,18.3,N/A,85.0,N/A,89.7,75.2,50.0,70.0
Central African Republic,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
