Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2019,51.5,19.6,25.2,29.6,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10.0,10.0
Albania,2019,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0
Algeria,2019,46.2,31.6,28.9,36.2,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0
Angola,2019,50.6,35.9,20.5,26.6,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30.0,40.0
Argentina,2019,52.2,47.8,33.5,44.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0
Armenia,2019,67.7,57.2,38.6,46.3,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0
Australia,2019,80.9,79.1,79.9,86.5,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0
Austria,2019,72.0,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86.0,90.0,70.0
Azerbaijan,2019,65.4,59.1,44.7,53.1,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0
Bahrain,2019,66.4,63.5,53.6,50.7,99.7,62.7,3.7,71.4,71.1,81.6,83.8,75.0,80.0
"Bangladesh ",2019,55.6,36.1,24.4,34.5,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45.0,30.0
Barbados,2019,64.7,52.9,53.8,59.9,70.1,65.0,79.5,69.8,59.9,78.3,56.6,70.0,60.0
Belarus,2019,57.9,55.2,37.7,51.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0
Belgium,2019,67.3,81.3,72.5,61.6,47.1,15.2,73.4,78.1,61.0,76.1,86.0,85.0,70.0
Belize,2019,55.4,41.7,27.2,46.9,79.9,65.9,39.1,61.8,54.8,78.7,64.0,55.0,50.0
Benin,2019,55.3,37.2,28.1,32.8,69.3,83.4,27.9,62.4,53.8,86.4,61.8,70.0,50.0
Bhutan,2019,62.9,62.5,54.5,55.4,83.0,71.6,77.6,68.7,79.5,72.6,79.4,20.0,30.0
Bolivia,2019,42.3,20.5,19.7,12.3,82.4,49.3,17.6,58.8,52.9,68.8,70.4,15.0,40.0
Bosnia and Herzegovina,2019,61.9,40.2,30.2,37.9,84.3,46.1,96.6,49.7,67.0,83.1,82.6,65.0,60.0
Botswana,2019,69.5,58.1,52.4,45.7,82.7,65.9,94.6,68.7,68.2,78.8,83.8,65.0,70.0
Brazil,2019,51.9,57.3,28.1,51.7,70.5,55.2,5.9,57.9,51.9,75.5,69.0,50.0,50.0
Brunei Darussalam,2019,65.1,64.0,43.7,56.0,90.7,59.9,20.0,80.2,90.8,76.5,84.0,65.0,50.0
Bulgaria,2019,69.0,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Burkina Faso,2019,59.4,49.1,36.6,42.9,81.9,80.0,61.8,51.6,52.3,86.2,65.2,65.0,40.0
Burma,2019,53.6,34.7,30.6,18.1,86.6,85.4,78.3,52.8,65.7,69.6,70.8,30.0,20.0
Burundi,2019,48.9,20.6,26.2,31.0,74.0,83.3,23.3,50.3,67.5,62.2,68.2,50.0,30.0
Cabo Verde,2019,63.1,44.1,43.7,49.0,76.4,71.2,59.7,65.2,55.7,84.1,68.2,80.0,60.0
Cambodia,2019,57.8,37.4,16.7,27.6,89.7,85.9,89.1,29.9,63.0,79.4,65.4,60.0,50.0
Cameroon,2019,52.4,42.5,25.5,31.3,74.4,87.5,58.4,44.4,47.8,84.0,53.4,30.0,50.0
Canada,2019,77.7,87.0,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80.0,80.0
Central African Republic,2019,49.1,19.6,23.2,29.6,65.2,94.2,94.3,24.2,40.1,72.3,51.0,45.0,30.0
Chad,2019,49.9,26.7,23.2,24.6,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60.0,40.0
Chile,2019,75.4,68.7,62.3,56.3,77.3,81.0,89.0,76.6,65.0,84.5,88.8,85.0,70.0
China,2019,58.4,49.9,49.1,75.2,70.4,70.1,76.0,56.2,64.2,71.9,73.0,25.0,20.0
Colombia,2019,67.3,59.2,33.5,34.3,74.3,75.0,79.2,71.4,78.5,75.6,76.0,80.0,70.0
Comoros,2019,55.4,36.5,24.4,29.6,63.9,73.4,91.7,57.2,60.3,82.8,70.0,45.0,30.0
"Costa Rica ",2019,65.3,58.3,54.5,54.0,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70.0,50.0
