Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2004,58.5,30.0,25.0,N/A,83.6,72.3,N/A,55.0,N/A,79.6,61.4,70.0,50.0
Algeria,2004,58.1,30.0,50.0,N/A,74.1,62.4,N/A,70.0,N/A,81.1,55.0,70.0,30.0
Angola,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2004,53.9,30.0,28.0,N/A,72.4,78.8,N/A,70.0,N/A,64.0,61.6,50.0,30.0
Armenia,2004,70.3,50.0,25.0,N/A,90.0,88.7,N/A,55.0,N/A,84.5,80.0,70.0,90.0
Australia,2004,77.9,90.0,86.0,N/A,59.6,60.5,N/A,85.0,N/A,83.2,77.2,70.0,90.0
Austria,2004,67.6,90.0,78.0,N/A,43.5,21.0,N/A,70.0,N/A,85.9,79.8,70.0,70.0
Azerbaijan,2004,53.4,30.0,20.0,N/A,78.3,87.9,N/A,55.0,N/A,80.2,69.2,30.0,30.0
Bahrain,2004,75.1,60.0,70.0,N/A,99.5,76.6,N/A,85.0,N/A,84.7,69.6,50.0,80.0
"Bangladesh ",2004,50.0,30.0,12.0,N/A,77.2,94.1,N/A,40.0,N/A,78.9,38.0,50.0,30.0
Barbados,2004,69.4,90.0,70.0,N/A,59.8,58.9,N/A,85.0,N/A,88.9,52.0,50.0,70.0
Belarus,2004,43.1,30.0,48.0,N/A,75.4,36.8,N/A,40.0,N/A,31.6,65.8,30.0,30.0
Belgium,2004,68.7,90.0,71.0,N/A,43.1,23.5,N/A,70.0,N/A,81.3,79.8,90.0,70.0
Belize,2004,62.8,50.0,50.0,N/A,84.1,64.7,N/A,70.0,N/A,86.5,60.0,50.0,50.0
Benin,2004,54.6,30.0,30.0,N/A,52.4,87.6,N/A,55.0,N/A,79.0,57.0,50.0,50.0
Bhutan,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2004,64.5,30.0,22.0,N/A,88.9,69.9,N/A,55.0,N/A,87.5,67.0,90.0,70.0
Bosnia and Herzegovina,2004,44.7,10.0,10.0,N/A,70.1,18.3,N/A,40.0,N/A,82.4,71.8,30.0,70.0
Botswana,2004,69.9,70.0,64.0,N/A,75.9,54.6,N/A,85.0,N/A,77.4,62.2,70.0,70.0
Brazil,2004,62.0,50.0,40.0,N/A,90.2,68.1,N/A,70.0,N/A,77.2,62.8,50.0,50.0
Bulgaria,2004,59.2,30.0,40.0,N/A,81.1,64.5,N/A,55.0,N/A,78.7,63.2,50.0,70.0
Burkina Faso,2004,58.0,30.0,30.0,N/A,77.7,84.9,N/A,55.0,N/A,79.7,64.8,50.0,50.0
Burma,2004,43.6,10.0,10.0,N/A,81.9,98.7,N/A,40.0,N/A,41.6,70.4,10.0,30.0
Burundi,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,2004,58.1,50.0,30.0,N/A,64.0,69.7,N/A,85.0,N/A,86.4,38.0,50.0,50.0
Cambodia,2004,61.1,30.0,30.0,N/A,91.4,91.0,N/A,55.0,N/A,80.8,52.0,50.0,70.0
Cameroon,2004,52.3,30.0,22.0,N/A,50.4,89.4,N/A,55.0,N/A,75.9,48.2,50.0,50.0
Canada,2004,75.3,90.0,90.0,N/A,73.6,50.5,N/A,85.0,N/A,85.4,83.2,50.0,70.0
Central African Republic,2004,57.5,30.0,30.0,N/A,65.5,89.5,N/A,55.0,N/A,79.5,48.2,70.0,50.0
Chad,2004,53.1,30.0,10.0,N/A,46.0,90.3,N/A,55.0,N/A,78.4,48.2,50.0,70.0
Chile,2004,76.9,90.0,75.0,N/A,78.5,81.5,N/A,70.0,N/A,84.2,73.0,70.0,70.0
China,2004,52.5,30.0,35.0,N/A,66.4,88.4,N/A,55.0,N/A,86.4,51.4,30.0,30.0
Colombia,2004,61.2,30.0,36.0,N/A,66.7,66.9,N/A,70.0,N/A,78.3,63.0,70.0,70.0
Comoros,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",2004,66.4,50.0,45.0,N/A,83.0,78.1,N/A,70.0,N/A,75.1,76.4,70.0,50.0
"Côte d'Ivoire ",2004,57.8,30.0,27.0,N/A,52.2,91.7,N/A,55.0,N/A,78.4,65.8,50.0,70.0
Croatia,2004,53.1,30.0,38.0,N/A,67.3,22.9,N/A,55.0,N/A,79.5,65.4,50.0,70.0
Cuba,2004,34.4,10.0,10.0,N/A,49.9,14.8,N/A,55.0,N/A,66.4,63.6,30.0,10.0
Cyprus,2004,74.1,90.0,70.0,N/A,81.4,56.2,N/A,85.0,N/A,84.6,79.4,50.0,70.0
Czech Republic,2004,67.0,70.0,37.0,N/A,67.0,40.9,N/A,70.0,N/A,84.6,73.4,70.0,90.0
Democratic Republic of Congo,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2004,72.4,90.0,95.0,N/A,33.6,8.3,N/A,100.0,N/A,85.1,79.8,70.0,90.0
Djibouti,2004,55.6,30.0,30.0,N/A,80.5,73.5,N/A,55.0,N/A,88.7,43.0,50.0,50.0
Dominica,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2004,54.6,30.0,35.0,N/A,85.0,92.8,N/A,55.0,N/A,69.1,44.4,50.0,30.0
Ecuador,2004,54.4,30.0,22.0,N/A,85.4,76.8,N/A,55.0,N/A,57.6,62.4,50.0,50.0
Egypt,2004,55.5,50.0,34.0,N/A,66.1,76.8,N/A,55.0,N/A,79.8,57.4,50.0,30.0
"El Salvador ",2004,71.2,50.0,34.0,N/A,83.6,90.8,N/A,85.0,N/A,85.2,72.2,70.0,70.0
Equatorial Guinea,2004,53.3,30.0,10.0,N/A,89.7,99.3,N/A,55.0,N/A,67.5,48.2,50.0,30.0
Eritrea,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2004,77.4,70.0,56.0,N/A,83.8,55.5,N/A,85.0,N/A,82.1,84.2,90.0,90.0
Eswatini,2004,58.6,50.0,30.0,N/A,74.0,71.7,N/A,70.0,N/A,69.7,62.2,50.0,50.0
Ethiopia,2004,54.5,30.0,35.0,N/A,70.2,73.4,N/A,55.0,N/A,84.3,63.0,50.0,30.0
Fiji,2004,58.0,30.0,30.0,N/A,78.3,71.7,N/A,70.0,N/A,81.8,60.2,30.0,70.0
Finland,2004,73.4,90.0,97.0,N/A,57.5,25.0,N/A,85.0,N/A,86.0,79.8,70.0,70.0
France,2004,60.9,70.0,63.0,N/A,44.3,14.5,N/A,70.0,N/A,86.4,79.8,70.0,50.0
