Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1997,54.8,50.0,10.0,N/A,81.5,60.3,N/A,70.0,N/A,62.9,59.0,70.0,30.0
Algeria,1997,54.9,50.0,50.0,N/A,48.8,65.5,N/A,70.0,N/A,56.0,54.2,50.0,50.0
Angola,1997,24.2,30.0,10.0,N/A,52.6,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,1997,73.3,70.0,52.0,N/A,80.2,90.0,N/A,85.0,N/A,82.0,60.0,70.0,70.0
Armenia,1997,46.7,50.0,30.0,N/A,80.7,41.7,N/A,55.0,N/A,0.0,83.0,30.0,50.0
Australia,1997,75.5,90.0,88.0,N/A,56.6,55.1,N/A,70.0,N/A,82.8,77.0,70.0,90.0
Austria,1997,65.2,90.0,71.0,N/A,46.1,1.2,N/A,70.0,N/A,84.8,63.6,70.0,90.0
Azerbaijan,1997,34.0,30.0,10.0,N/A,54.6,61.6,N/A,55.0,N/A,0.0,55.0,10.0,30.0
Bahrain,1997,76.1,60.0,70.0,N/A,99.5,73.4,N/A,100.0,N/A,85.2,77.0,50.0,70.0
"Bangladesh ",1997,49.9,30.0,10.0,N/A,70.6,94.2,N/A,40.0,N/A,66.1,38.0,50.0,50.0
Barbados,1997,64.5,50.0,50.0,N/A,60.7,73.0,N/A,70.0,N/A,87.5,49.0,70.0,70.0
Belarus,1997,39.8,50.0,10.0,N/A,38.0,32.9,N/A,70.0,N/A,0.0,77.2,30.0,50.0
Belgium,1997,64.6,90.0,69.0,N/A,33.7,14.8,N/A,70.0,N/A,86.4,77.8,70.0,70.0
Belize,1997,64.3,70.0,50.0,N/A,63.3,88.2,N/A,70.0,N/A,84.6,33.0,70.0,50.0
Benin,1997,61.3,50.0,50.0,N/A,71.9,88.2,N/A,70.0,N/A,62.3,58.8,50.0,50.0
Bhutan,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1997,65.1,50.0,30.0,N/A,89.1,76.1,N/A,55.0,N/A,80.5,65.4,70.0,70.0
Bosnia and Herzegovina,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,1997,59.1,70.0,50.0,N/A,75.9,46.6,N/A,70.0,N/A,74.2,25.0,50.0,70.0
Brazil,1997,52.6,50.0,27.0,N/A,88.3,80.8,N/A,70.0,N/A,0.0,57.0,50.0,50.0
Bulgaria,1997,47.6,50.0,30.0,N/A,48.9,37.3,N/A,55.0,N/A,36.5,71.0,50.0,50.0
Burkina Faso,1997,54.0,50.0,10.0,N/A,66.5,85.3,N/A,55.0,N/A,63.9,55.0,70.0,30.0
Burma,1997,45.4,30.0,10.0,N/A,81.8,85.2,N/A,40.0,N/A,51.7,50.0,30.0,30.0
Burundi,1997,45.4,30.0,10.0,N/A,43.6,81.5,N/A,55.0,N/A,58.6,70.2,30.0,30.0
Cabo Verde,1997,47.7,70.0,30.0,N/A,63.6,17.0,N/A,55.0,N/A,68.3,45.0,70.0,10.0
Cambodia,1997,52.8,30.0,30.0,N/A,91.7,91.8,N/A,55.0,N/A,62.1,15.0,50.0,50.0
Cameroon,1997,44.6,30.0,10.0,N/A,51.0,88.8,N/A,55.0,N/A,61.7,25.0,50.0,30.0
Canada,1997,67.9,90.0,89.0,N/A,38.1,25.9,N/A,85.0,N/A,86.8,77.0,50.0,70.0
Central African Republic,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,1997,45.1,30.0,10.0,N/A,46.2,89.1,N/A,55.0,N/A,62.4,53.4,30.0,30.0
Chile,1997,75.9,90.0,79.0,N/A,73.5,86.6,N/A,85.0,N/A,75.6,73.0,70.0,50.0
China,1997,51.7,30.0,22.0,N/A,70.4,95.4,N/A,55.0,N/A,62.7,30.0,50.0,50.0
Colombia,1997,66.4,50.0,34.0,N/A,77.3,99.3,N/A,70.0,N/A,65.4,61.0,70.0,70.0
Comoros,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",1997,65.6,50.0,50.0,N/A,82.7,87.9,N/A,70.0,N/A,67.0,63.0,70.0,50.0
"Côte d'Ivoire ",1997,50.5,30.0,30.0,N/A,51.9,88.9,N/A,55.0,N/A,64.6,34.0,50.0,50.0
Croatia,1997,46.7,30.0,50.0,N/A,74.4,50.5,N/A,55.0,N/A,0.0,60.8,50.0,50.0
Cuba,1997,27.8,10.0,10.0,N/A,47.6,0.0,N/A,40.0,N/A,62.9,60.0,10.0,10.0
Cyprus,1997,67.9,50.0,50.0,N/A,71.3,67.9,N/A,85.0,N/A,78.5,68.4,70.0,70.0
Czech Republic,1997,68.8,70.0,50.0,N/A,53.7,35.4,N/A,100.0,N/A,74.4,76.0,70.0,90.0
Democratic Republic of Congo,1997,39.5,30.0,10.0,N/A,54.7,97.2,N/A,55.0,N/A,0.0,49.0,30.0,30.0
Denmark,1997,67.5,90.0,93.0,N/A,30.6,0.0,N/A,85.0,N/A,91.0,77.8,70.0,70.0
Djibouti,1997,54.5,50.0,30.0,N/A,84.1,44.5,N/A,55.0,N/A,75.5,51.0,50.0,50.0
Dominica,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,1997,53.5,30.0,30.0,N/A,85.7,89.6,N/A,55.0,N/A,74.2,17.0,50.0,50.0
Ecuador,1997,61.0,50.0,30.0,N/A,78.2,91.0,N/A,55.0,N/A,57.7,67.0,70.0,50.0
Egypt,1997,54.5,50.0,50.0,N/A,55.9,72.3,N/A,55.0,N/A,66.7,41.0,50.0,50.0
"El Salvador ",1997,70.5,50.0,50.0,N/A,83.6,92.0,N/A,70.0,N/A,74.1,75.0,70.0,70.0
Equatorial Guinea,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eritrea,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,1997,69.1,70.0,50.0,N/A,71.4,55.5,N/A,85.0,N/A,55.5,74.0,90.0,70.0
Eswatini,1997,59.4,70.0,30.0,N/A,63.1,67.5,N/A,70.0,N/A,67.5,46.6,70.0,50.0
Ethiopia,1997,48.1,30.0,30.0,N/A,48.7,79.9,N/A,55.0,N/A,71.2,58.0,30.0,30.0
Fiji,1997,58.0,50.0,30.0,N/A,71.0,77.5,N/A,55.0,N/A,80.8,57.6,50.0,50.0
Finland,1997,65.2,90.0,91.0,N/A,54.9,0.0,N/A,70.0,N/A,83.3,77.8,70.0,50.0
France,1997,59.1,70.0,70.0,N/A,38.1,9.6,N/A,85.0,N/A,81.5,77.8,50.0,50.0
Gabon,1997,58.8,50.0,50.0,N/A,49.9,80.5,N/A,70.0,N/A,65.3,23.6,70.0,70.0
Georgia,1997,46.5,30.0,10.0,N/A,92.0,82.3,N/A,55.0,N/A,0.0,69.0,50.0,30.0
Germany,1997,67.5,90.0,81.0,N/A,37.8,28.0,N/A,70.0,N/A,85.6,75.0,70.0,70.0
Ghana,1997,56.7,50.0,50.0,N/A,72.9,70.8,N/A,55.0,N/A,51.2,60.0,50.0,50.0
Greece,1997,59.6,70.0,40.0,N/A,54.0,54.4,N/A,70.0,N/A,70.1,77.8,70.0,30.0
"Guatemala ",1997,65.7,50.0,50.0,N/A,81.5,97.5,N/A,55.0,N/A,70.7,67.0,50.0,70.0
Guinea,1997,52.9,30.0,10.0,N/A,71.4,90.8,N/A,55.0,N/A,80.3,19.0,50.0,70.0
Guinea-Bissau,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,1997,53.2,50.0,30.0,N/A,59.8,61.8,N/A,55.0,N/A,72.9,49.8,50.0,50.0
Haiti,1997,45.8,10.0,10.0,N/A,78.7,98.7,N/A,40.0,N/A,50.0,65.0,30.0,30.0
"Honduras ",1997,56.0,50.0,30.0,N/A,65.4,82.9,N/A,55.0,N/A,57.8,63.0,50.0,50.0
Hong Kong,1997,88.6,90.0,71.0,N/A,91.8,93.0,N/A,100.0,N/A,81.1,90.0,90.0,90.0
"Hungary ",1997,55.3,70.0,41.0,N/A,54.4,0.0,N/A,70.0,N/A,63.0,59.0,70.0,70.0
Iceland,1997,70.5,90.0,90.0,N/A,61.6,40.6,N/A,70.0,N/A,81.3,80.8,70.0,50.0
India,1997,49.7,50.0,28.0,N/A,67.1,88.7,N/A,55.0,N/A,65.1,13.2,50.0,30.0
Indonesia,1997,62.0,50.0,19.0,N/A,79.9,90.3,N/A,55.0,N/A,70.8,73.0,70.0,50.0
Iran,1997,34.5,10.0,10.0,N/A,41.5,85.1,N/A,55.0,N/A,43.7,45.0,10.0,10.0
Iraq,1997,17.2,10.0,10.0,N/A,10.0,10.2,N/A,55.0,N/A,0.0,40.0,10.0,10.0
Ireland,1997,72.6,90.0,84.0,N/A,49.9,41.1,N/A,85.0,N/A,85.2,77.8,70.0,70.0
Israel,1997,62.7,70.0,30.0,N/A,51.7,32.0,N/A,85.0,N/A,74.3,81.0,90.0,50.0
Italy,1997,58.1,70.0,30.0,N/A,43.2,10.6,N/A,70.0,N/A,81.1,77.8,70.0,70.0
"Jamaica ",1997,67.7,70.0,50.0,N/A,76.3,76.6,N/A,70.0,N/A,59.1,67.0,70.0,70.0
Japan,1997,70.3,90.0,67.0,N/A,54.2,63.0,N/A,85.0,N/A,92.0,81.0,50.0,50.0
Jordan,1997,63.6,70.0,30.0,N/A,64.6,65.1,N/A,70.0,N/A,79.5,53.0,70.0,70.0
Kazakhstan,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenya,1997,60.1,50.0,50.0,N/A,69.1,71.0,N/A,55.0,N/A,67.8,58.0,50.0,70.0
Kiribati,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,1997,64.8,90.0,70.0,N/A,99.9,0.8,N/A,85.0,N/A,80.1,77.0,30.0,50.0
"Kyrgyz Republic ",1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laos,1997,35.1,10.0,10.0,N/A,32.3,82.4,N/A,40.0,N/A,55.4,66.0,10.0,10.0
Latvia,1997,62.4,50.0,30.0,N/A,78.0,56.2,N/A,85.0,N/A,57.4,65.0,70.0,70.0
Lebanon,1997,63.9,50.0,10.0,N/A,98.0,78.5,N/A,70.0,N/A,73.9,75.0,50.0,70.0
Lesotho,1997,47.2,50.0,30.0,N/A,58.8,35.4,N/A,55.0,N/A,65.3,50.2,50.0,30.0
Liberia,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,1997,28.9,10.0,10.0,N/A,33.3,61.1,N/A,40.0,N/A,61.2,24.0,10.0,10.0
Liechtenstein,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1997,57.3,50.0,30.0,N/A,75.6,58.0,N/A,70.0,N/A,33.0,79.0,70.0,50.0
