Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,1995,49.7,50.0,10.0,N/A,81.7,34.3,N/A,70.0,N/A,22.1,59.0,70.0,50.0
Algeria,1995,55.7,50.0,50.0,N/A,48.8,69.5,N/A,70.0,N/A,59.2,54.2,50.0,50.0
Angola,1995,27.4,30.0,30.0,N/A,61.6,0.0,N/A,40.0,N/A,0.0,25.0,30.0,30.0
Argentina,1995,68.0,70.0,50.0,N/A,80.7,86.6,N/A,85.0,N/A,61.1,58.4,70.0,50.0
Armenia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,1995,74.1,90.0,70.0,N/A,59.6,53.9,N/A,70.0,N/A,86.7,77.0,70.0,90.0
Austria,1995,70.0,90.0,90.0,N/A,46.3,9.6,N/A,70.0,N/A,82.9,81.0,70.0,90.0
Azerbaijan,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bahrain,1995,76.2,60.0,70.0,N/A,99.4,71.7,N/A,100.0,N/A,86.7,78.4,50.0,70.0
"Bangladesh ",1995,40.9,30.0,10.0,N/A,44.0,91.5,N/A,40.0,N/A,72.9,0.0,50.0,30.0
Barbados,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belarus,1995,40.4,50.0,10.0,N/A,42.0,31.5,N/A,70.0,N/A,0.0,60.0,50.0,50.0
Belgium,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belize,1995,62.9,70.0,50.0,N/A,63.2,64.7,N/A,70.0,N/A,86.5,42.0,70.0,50.0
Benin,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bhutan,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,1995,56.8,50.0,10.0,N/A,91.0,60.7,N/A,55.0,N/A,79.5,65.4,70.0,30.0
Bosnia and Herzegovina,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Botswana,1995,56.8,70.0,50.0,N/A,53.7,55.1,N/A,70.0,N/A,65.9,46.2,50.0,50.0
Brazil,1995,51.4,50.0,50.0,N/A,76.7,74.4,N/A,55.0,N/A,0.0,56.4,50.0,50.0
Bulgaria,1995,50.0,50.0,30.0,N/A,46.0,50.5,N/A,55.0,N/A,26.3,72.4,70.0,50.0
Burkina Faso,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burma,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burundi,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cambodia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cameroon,1995,51.3,50.0,10.0,N/A,51.1,89.8,N/A,55.0,N/A,80.9,25.0,50.0,50.0
Canada,1995,69.4,90.0,90.0,N/A,64.2,14.8,N/A,85.0,N/A,85.9,75.2,50.0,70.0
Central African Republic,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chad,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chile,1995,71.2,90.0,50.0,N/A,79.4,87.0,N/A,85.0,N/A,66.2,63.0,70.0,50.0
China,1995,52.0,30.0,30.0,N/A,70.6,93.7,N/A,55.0,N/A,68.4,20.0,50.0,50.0
Colombia,1995,64.5,50.0,10.0,N/A,80.5,86.0,N/A,85.0,N/A,63.7,65.0,70.0,70.0
Comoros,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Costa Rica ",1995,68.0,50.0,50.0,N/A,82.6,90.8,N/A,70.0,N/A,70.9,78.0,70.0,50.0
"Côte d'Ivoire ",1995,53.4,50.0,30.0,N/A,52.2,86.1,N/A,70.0,N/A,79.7,12.6,50.0,50.0
Croatia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cuba,1995,27.8,10.0,10.0,N/A,47.6,0.0,N/A,40.0,N/A,62.9,60.0,10.0,10.0
Cyprus,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Czech Republic,1995,67.8,70.0,50.0,N/A,46.7,38.2,N/A,100.0,N/A,69.2,76.0,70.0,90.0
Democratic Republic of Congo,1995,41.4,50.0,10.0,N/A,50.9,97.2,N/A,55.0,N/A,0.0,49.0,30.0,30.0
Denmark,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Djibouti,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominica,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,1995,55.8,30.0,30.0,N/A,84.3,95.3,N/A,55.0,N/A,76.2,31.0,50.0,50.0
Ecuador,1995,57.7,50.0,10.0,N/A,81.8,94.9,N/A,55.0,N/A,46.3,61.0,70.0,50.0
Egypt,1995,45.7,30.0,30.0,N/A,46.0,53.7,N/A,55.0,N/A,72.0,25.0,50.0,50.0
"El Salvador ",1995,69.1,50.0,50.0,N/A,83.8,93.6,N/A,70.0,N/A,69.4,65.0,70.0,70.0
Equatorial Guinea,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eritrea,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,1995,65.2,70.0,50.0,N/A,82.0,63.3,N/A,85.0,N/A,0.0,77.0,90.0,70.0
Eswatini,1995,63.3,70.0,50.0,N/A,63.5,69.3,N/A,70.0,N/A,69.3,58.0,70.0,50.0
Ethiopia,1995,42.6,30.0,30.0,N/A,41.0,88.5,N/A,55.0,N/A,72.0,27.0,10.0,30.0
Fiji,1995,54.7,50.0,30.0,N/A,57.1,72.5,N/A,55.0,N/A,75.5,52.6,50.0,50.0
Finland,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,1995,64.4,70.0,90.0,N/A,60.8,15.7,N/A,85.0,N/A,80.5,77.8,50.0,50.0
Gabon,1995,57.5,50.0,50.0,N/A,49.4,76.0,N/A,70.0,N/A,78.9,23.6,70.0,50.0
Georgia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,1995,69.8,90.0,90.0,N/A,33.2,30.6,N/A,85.0,N/A,81.6,77.8,70.0,70.0
Ghana,1995,55.6,50.0,70.0,N/A,66.3,81.8,N/A,55.0,N/A,66.2,31.2,30.0,50.0
Greece,1995,61.2,70.0,50.0,N/A,62.5,55.3,N/A,70.0,N/A,65.3,77.8,70.0,30.0
"Guatemala ",1995,62.0,50.0,50.0,N/A,86.8,96.6,N/A,55.0,N/A,66.9,52.4,50.0,50.0
Guinea,1995,59.4,50.0,10.0,N/A,71.3,86.4,N/A,70.0,N/A,75.9,51.0,50.0,70.0
Guinea-Bissau,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,1995,45.7,50.0,10.0,N/A,55.8,30.3,N/A,55.0,N/A,64.0,66.0,50.0,30.0
Haiti,1995,43.0,10.0,10.0,N/A,78.6,95.5,N/A,40.0,N/A,52.8,80.0,10.0,10.0
"Honduras ",1995,57.0,50.0,30.0,N/A,65.5,83.4,N/A,55.0,N/A,67.8,61.0,50.0,50.0
Hong Kong,1995,88.6,90.0,90.0,N/A,93.0,93.5,N/A,100.0,N/A,80.8,90.0,90.0,70.0
"Hungary ",1995,55.2,70.0,50.0,N/A,46.8,0.0,N/A,85.0,N/A,64.2,61.0,70.0,50.0
Iceland,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
India,1995,45.1,50.0,10.0,N/A,46.8,92.4,N/A,55.0,N/A,71.7,0.0,50.0,30.0
Indonesia,1995,54.9,50.0,10.0,N/A,73.1,89.7,N/A,55.0,N/A,70.9,45.0,50.0,50.0
Iran,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iraq,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,1995,68.5,90.0,50.0,N/A,49.1,38.7,N/A,85.0,N/A,86.1,77.8,70.0,70.0
Israel,1995,61.5,70.0,30.0,N/A,44.8,30.0,N/A,85.0,N/A,73.2,80.4,90.0,50.0
Italy,1995,61.2,70.0,70.0,N/A,43.6,3.6,N/A,85.0,N/A,81.1,77.8,70.0,50.0
"Jamaica ",1995,64.4,50.0,50.0,N/A,77.5,76.5,N/A,70.0,N/A,50.9,65.0,70.0,70.0
Japan,1995,75.0,90.0,90.0,N/A,53.6,67.7,N/A,85.0,N/A,87.0,82.0,50.0,70.0
Jordan,1995,62.7,70.0,30.0,N/A,46.6,70.6,N/A,70.0,N/A,77.5,59.2,70.0,70.0
Kazakhstan,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenya,1995,54.5,50.0,50.0,N/A,68.0,63.0,N/A,55.0,N/A,50.4,53.6,50.0,50.0
Kiribati,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Kyrgyz Republic ",1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laos,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Latvia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lebanon,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lesotho,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liberia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liechtenstein,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luxembourg,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macau,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
